Year,Year ending,Local Government Area,Age Group,AFM Counter
2024,June,Gannawarra,00 - 17 years,15
2024,June,Gannawarra,18 - 24 years,25
2024,June,Gannawarra,25 - 34 years,62
2024,June,Gannawarra,35 - 44 years,32
2024,June,Gannawarra,45 - 54 years,49
2024,June,Gannawarra,55+ years,29
2024,June,Glen Eira,00 - 17 years,174
2024,June,Glen Eira,18 - 24 years,76
2024,June,Glen Eira,25 - 34 years,212
2024,June,Glen Eira,35 - 44 years,250
2024,June,Glen Eira,45 - 54 years,178
2024,June,Glen Eira,55+ years,189
2024,June,Glenelg,00 - 17 years,41
2024,June,Glenelg,18 - 24 years,63
2024,June,Glenelg,25 - 34 years,144
2024,June,Glenelg,35 - 44 years,99
2024,June,Glenelg,45 - 54 years,70
2024,June,Glenelg,55+ years,64
2024,June,Golden Plains,00 - 17 years,18
2024,June,Golden Plains,18 - 24 years,31
2024,June,Golden Plains,25 - 34 years,33
2024,June,Golden Plains,35 - 44 years,57
2024,June,Golden Plains,45 - 54 years,43
2024,June,Golden Plains,55+ years,41
2024,June,Greater Bendigo,00 - 17 years,297
2024,June,Greater Bendigo,18 - 24 years,266
2024,June,Greater Bendigo,25 - 34 years,638
2024,June,Greater Bendigo,35 - 44 years,629
2024,June,Greater Bendigo,45 - 54 years,414
2024,June,Greater Bendigo,55+ years,327
2024,June,Greater Dandenong,00 - 17 years,176
2024,June,Greater Dandenong,18 - 24 years,290
2024,June,Greater Dandenong,25 - 34 years,639
2024,June,Greater Dandenong,35 - 44 years,616
2024,June,Greater Dandenong,45 - 54 years,356
2024,June,Greater Dandenong,55+ years,545
2024,June,Greater Geelong,00 - 17 years,368
2024,June,Greater Geelong,18 - 24 years,606
2024,June,Greater Geelong,25 - 34 years,1124
2024,June,Greater Geelong,35 - 44 years,1296
2024,June,Greater Geelong,45 - 54 years,887
2024,June,Greater Geelong,55+ years,759
2024,June,Greater Shepparton,00 - 17 years,161
2024,June,Greater Shepparton,18 - 24 years,313
2024,June,Greater Shepparton,25 - 34 years,575
2024,June,Greater Shepparton,35 - 44 years,475
2024,June,Greater Shepparton,45 - 54 years,307
2024,June,Greater Shepparton,55+ years,211
2024,June,Hepburn,00 - 17 years,20
2024,June,Hepburn,18 - 24 years,9
2024,June,Hepburn,25 - 34 years,27
2024,June,Hepburn,35 - 44 years,41
2024,June,Hepburn,45 - 54 years,58
2024,June,Hepburn,55+ years,46
2024,June,Hindmarsh,00 - 17 years,15
2024,June,Hindmarsh,18 - 24 years,10
2024,June,Hindmarsh,25 - 34 years,22
2024,June,Hindmarsh,35 - 44 years,15
2024,June,Hindmarsh,45 - 54 years,13
2024,June,Hindmarsh,55+ years,23
2024,June,Hobsons Bay,00 - 17 years,58
2024,June,Hobsons Bay,18 - 24 years,95
2024,June,Hobsons Bay,25 - 34 years,225
2024,June,Hobsons Bay,35 - 44 years,270
2024,June,Hobsons Bay,45 - 54 years,213
2024,June,Hobsons Bay,55+ years,155
2024,June,Horsham,00 - 17 years,77
2024,June,Horsham,18 - 24 years,150
2024,June,Horsham,25 - 34 years,195
2024,June,Horsham,35 - 44 years,116
2024,June,Horsham,45 - 54 years,98
2024,June,Horsham,55+ years,59
2024,June,Hume,00 - 17 years,329
2024,June,Hume,18 - 24 years,448
2024,June,Hume,25 - 34 years,925
2024,June,Hume,35 - 44 years,890
2024,June,Hume,45 - 54 years,538
2024,June,Hume,55+ years,454
2024,June,Indigo,00 - 17 years,19
2024,June,Indigo,18 - 24 years,11
2024,June,Indigo,25 - 34 years,31
2024,June,Indigo,35 - 44 years,42
2024,June,Indigo,45 - 54 years,43
2024,June,Indigo,55+ years,27
2024,June,Kingston,00 - 17 years,247
2024,June,Kingston,18 - 24 years,129
2024,June,Kingston,25 - 34 years,312
2024,June,Kingston,35 - 44 years,429
2024,June,Kingston,45 - 54 years,352
2024,June,Kingston,55+ years,327
2024,June,Knox,00 - 17 years,201
2024,June,Knox,18 - 24 years,183
2024,June,Knox,25 - 34 years,384
2024,June,Knox,35 - 44 years,484
2024,June,Knox,45 - 54 years,402
2024,June,Knox,55+ years,325
2024,June,Latrobe,00 - 17 years,361
2024,June,Latrobe,18 - 24 years,393
2024,June,Latrobe,25 - 34 years,858
2024,June,Latrobe,35 - 44 years,645
2024,June,Latrobe,45 - 54 years,424
2024,June,Latrobe,55+ years,335
2024,June,Loddon,00 - 17 years,12
2024,June,Loddon,18 - 24 years,10
2024,June,Loddon,25 - 34 years,17
2024,June,Loddon,35 - 44 years,20
2024,June,Loddon,45 - 54 years,21
2024,June,Loddon,55+ years,31
2024,June,Macedon Ranges,00 - 17 years,49
2024,June,Macedon Ranges,18 - 24 years,51
2024,June,Macedon Ranges,25 - 34 years,91
2024,June,Macedon Ranges,35 - 44 years,128
2024,June,Macedon Ranges,45 - 54 years,109
2024,June,Macedon Ranges,55+ years,89
2024,June,Manningham,00 - 17 years,190
2024,June,Manningham,18 - 24 years,89
2024,June,Manningham,25 - 34 years,138
2024,June,Manningham,35 - 44 years,244
2024,June,Manningham,45 - 54 years,172
2024,June,Manningham,55+ years,174
2024,June,Mansfield,00 - 17 years,9
2024,June,Mansfield,18 - 24 years,6
2024,June,Mansfield,25 - 34 years,32
2024,June,Mansfield,35 - 44 years,32
2024,June,Mansfield,45 - 54 years,33
2024,June,Mansfield,55+ years,16
2024,June,Maribyrnong,00 - 17 years,47
2024,June,Maribyrnong,18 - 24 years,137
2024,June,Maribyrnong,25 - 34 years,298
2024,June,Maribyrnong,35 - 44 years,284
2024,June,Maribyrnong,45 - 54 years,159
2024,June,Maribyrnong,55+ years,189
2024,June,Maroondah,00 - 17 years,135
2024,June,Maroondah,18 - 24 years,143
2024,June,Maroondah,25 - 34 years,256
2024,June,Maroondah,35 - 44 years,350
2024,June,Maroondah,45 - 54 years,274
2024,June,Maroondah,55+ years,235
2024,June,Melbourne,00 - 17 years,100
2024,June,Melbourne,18 - 24 years,440
2024,June,Melbourne,25 - 34 years,645
2024,June,Melbourne,35 - 44 years,510
2024,June,Melbourne,45 - 54 years,253
2024,June,Melbourne,55+ years,174
2024,June,Melton,00 - 17 years,209
2024,June,Melton,18 - 24 years,369
2024,June,Melton,25 - 34 years,929
2024,June,Melton,35 - 44 years,876
2024,June,Melton,45 - 54 years,455
2024,June,Melton,55+ years,345
2024,June,Merri-bek,00 - 17 years,118
2024,June,Merri-bek,18 - 24 years,211
2024,June,Merri-bek,25 - 34 years,441
2024,June,Merri-bek,35 - 44 years,389
2024,June,Merri-bek,45 - 54 years,284
2024,June,Merri-bek,55+ years,327
2024,June,Mildura,00 - 17 years,233
2024,June,Mildura,18 - 24 years,302
2024,June,Mildura,25 - 34 years,509
2024,June,Mildura,35 - 44 years,545
2024,June,Mildura,45 - 54 years,194
2024,June,Mildura,55+ years,266
2024,June,Mitchell,00 - 17 years,93
2024,June,Mitchell,18 - 24 years,146
2024,June,Mitchell,25 - 34 years,322
2024,June,Mitchell,35 - 44 years,366
2024,June,Mitchell,45 - 54 years,237
2024,June,Mitchell,55+ years,152
2024,June,Moira,00 - 17 years,63
2024,June,Moira,18 - 24 years,71
2024,June,Moira,25 - 34 years,160
2024,June,Moira,35 - 44 years,143
2024,June,Moira,45 - 54 years,108
2024,June,Moira,55+ years,95
2024,June,Monash,00 - 17 years,273
2024,June,Monash,18 - 24 years,150
2024,June,Monash,25 - 34 years,369
2024,June,Monash,35 - 44 years,424
2024,June,Monash,45 - 54 years,329
2024,June,Monash,55+ years,365
2024,June,Moonee Valley,00 - 17 years,79
2024,June,Moonee Valley,18 - 24 years,126
2024,June,Moonee Valley,25 - 34 years,325
2024,June,Moonee Valley,35 - 44 years,316
2024,June,Moonee Valley,45 - 54 years,282
2024,June,Moonee Valley,55+ years,211
2024,June,Moorabool,00 - 17 years,61
2024,June,Moorabool,18 - 24 years,45
2024,June,Moorabool,25 - 34 years,150
2024,June,Moorabool,35 - 44 years,173
2024,June,Moorabool,45 - 54 years,87
2024,June,Moorabool,55+ years,102
2024,June,Mornington Peninsula,00 - 17 years,236
2024,June,Mornington Peninsula,18 - 24 years,209
2024,June,Mornington Peninsula,25 - 34 years,388
2024,June,Mornington Peninsula,35 - 44 years,543
2024,June,Mornington Peninsula,45 - 54 years,435
2024,June,Mornington Peninsula,55+ years,449
2024,June,Mount Alexander,00 - 17 years,27
2024,June,Mount Alexander,18 - 24 years,10
2024,June,Mount Alexander,25 - 34 years,37
2024,June,Mount Alexander,35 - 44 years,39
2024,June,Mount Alexander,45 - 54 years,54
2024,June,Mount Alexander,55+ years,52
2024,June,Moyne,00 - 17 years,15
2024,June,Moyne,18 - 24 years,19
2024,June,Moyne,25 - 34 years,49
2024,June,Moyne,35 - 44 years,45
2024,June,Moyne,45 - 54 years,33
2024,June,Moyne,55+ years,29
2024,June,Murrindindi,00 - 17 years,10
2024,June,Murrindindi,18 - 24 years,16
2024,June,Murrindindi,25 - 34 years,41
2024,June,Murrindindi,35 - 44 years,29
2024,June,Murrindindi,45 - 54 years,39
2024,June,Murrindindi,55+ years,48
2024,June,Nillumbik,00 - 17 years,28
2024,June,Nillumbik,18 - 24 years,36
2024,June,Nillumbik,25 - 34 years,59
2024,June,Nillumbik,35 - 44 years,95
2024,June,Nillumbik,45 - 54 years,112
2024,June,Nillumbik,55+ years,101
2024,June,Northern Grampians,00 - 17 years,41
2024,June,Northern Grampians,18 - 24 years,43
2024,June,Northern Grampians,25 - 34 years,95
2024,June,Northern Grampians,35 - 44 years,81
2024,June,Northern Grampians,45 - 54 years,55
2024,June,Northern Grampians,55+ years,45
2024,June,Port Phillip,00 - 17 years,98
2024,June,Port Phillip,18 - 24 years,142
2024,June,Port Phillip,25 - 34 years,366
2024,June,Port Phillip,35 - 44 years,342
2024,June,Port Phillip,45 - 54 years,223
2024,June,Port Phillip,55+ years,176
2024,June,Pyrenees,00 - 17 years,7
2024,June,Pyrenees,18 - 24 years,15
2024,June,Pyrenees,25 - 34 years,11
2024,June,Pyrenees,35 - 44 years,27
2024,June,Pyrenees,45 - 54 years,29
2024,June,Pyrenees,55+ years,30
2024,June,Queenscliffe,18 - 24 years,
2024,June,Queenscliffe,35 - 44 years,
2024,June,Queenscliffe,45 - 54 years,
2024,June,Queenscliffe,55+ years,
2024,June,South Gippsland,00 - 17 years,59
2024,June,South Gippsland,18 - 24 years,48
2024,June,South Gippsland,25 - 34 years,118
2024,June,South Gippsland,35 - 44 years,145
2024,June,South Gippsland,45 - 54 years,110
2024,June,South Gippsland,55+ years,90
2024,June,Southern Grampians,00 - 17 years,28
2024,June,Southern Grampians,18 - 24 years,68
2024,June,Southern Grampians,25 - 34 years,64
2024,June,Southern Grampians,35 - 44 years,98
2024,June,Southern Grampians,45 - 54 years,40
2024,June,Southern Grampians,55+ years,57
2024,June,Stonnington,00 - 17 years,80
2024,June,Stonnington,18 - 24 years,116
2024,June,Stonnington,25 - 34 years,234
2024,June,Stonnington,35 - 44 years,223
2024,June,Stonnington,45 - 54 years,155
2024,June,Stonnington,55+ years,129
2024,June,Strathbogie,00 - 17 years,6
2024,June,Strathbogie,18 - 24 years,11
2024,June,Strathbogie,25 - 34 years,25
2024,June,Strathbogie,35 - 44 years,42
2024,June,Strathbogie,45 - 54 years,37
2024,June,Strathbogie,55+ years,26
2024,June,Surf Coast,00 - 17 years,26
2024,June,Surf Coast,18 - 24 years,19
2024,June,Surf Coast,25 - 34 years,36
2024,June,Surf Coast,35 - 44 years,82
2024,June,Surf Coast,45 - 54 years,58
2024,June,Surf Coast,55+ years,36
2024,June,Swan Hill,00 - 17 years,73
2024,June,Swan Hill,18 - 24 years,70
2024,June,Swan Hill,25 - 34 years,155
2024,June,Swan Hill,35 - 44 years,162
2024,June,Swan Hill,45 - 54 years,113
2024,June,Swan Hill,55+ years,109
2024,June,Towong,00 - 17 years,6
2024,June,Towong,18 - 24 years,6
2024,June,Towong,25 - 34 years,24
2024,June,Towong,35 - 44 years,15
2024,June,Towong,45 - 54 years,7
2024,June,Towong,55+ years,18
2024,June,Wangaratta,00 - 17 years,74
2024,June,Wangaratta,18 - 24 years,98
2024,June,Wangaratta,25 - 34 years,116
2024,June,Wangaratta,35 - 44 years,160
2024,June,Wangaratta,45 - 54 years,94
2024,June,Wangaratta,55+ years,92
2024,June,Warrnambool,00 - 17 years,70
2024,June,Warrnambool,18 - 24 years,103
2024,June,Warrnambool,25 - 34 years,154
2024,June,Warrnambool,35 - 44 years,170
2024,June,Warrnambool,45 - 54 years,129
2024,June,Warrnambool,55+ years,126
2024,June,Wellington,00 - 17 years,134
2024,June,Wellington,18 - 24 years,174
2024,June,Wellington,25 - 34 years,286
2024,June,Wellington,35 - 44 years,307
2024,June,Wellington,45 - 54 years,213
2024,June,Wellington,55+ years,214
2024,June,West Wimmera,00 - 17 years,6
2024,June,West Wimmera,18 - 24 years,2
2024,June,West Wimmera,25 - 34 years,12
2024,June,West Wimmera,35 - 44 years,26
2024,June,West Wimmera,45 - 54 years,10
2024,June,West Wimmera,55+ years,9
2024,June,Whitehorse,00 - 17 years,229
2024,June,Whitehorse,18 - 24 years,133
2024,June,Whitehorse,25 - 34 years,319
2024,June,Whitehorse,35 - 44 years,312
2024,June,Whitehorse,45 - 54 years,279
2024,June,Whitehorse,55+ years,228
2024,June,Whittlesea,00 - 17 years,167
2024,June,Whittlesea,18 - 24 years,291
2024,June,Whittlesea,25 - 34 years,715
2024,June,Whittlesea,35 - 44 years,822
2024,June,Whittlesea,45 - 54 years,453
2024,June,Whittlesea,55+ years,408
2024,June,Wodonga,00 - 17 years,137
2024,June,Wodonga,18 - 24 years,155
2024,June,Wodonga,25 - 34 years,256
2024,June,Wodonga,35 - 44 years,259
2024,June,Wodonga,45 - 54 years,155
2024,June,Wodonga,55+ years,91
2024,June,Wyndham,00 - 17 years,296
2024,June,Wyndham,18 - 24 years,536
2024,June,Wyndham,25 - 34 years,1268
2024,June,Wyndham,35 - 44 years,1248
2024,June,Wyndham,45 - 54 years,588
2024,June,Wyndham,55+ years,414
2024,June,Yarra,00 - 17 years,72
2024,June,Yarra,18 - 24 years,83
2024,June,Yarra,25 - 34 years,288
2024,June,Yarra,35 - 44 years,281
2024,June,Yarra,45 - 54 years,144
2024,June,Yarra,55+ years,151
2024,June,Yarra Ranges,00 - 17 years,225
2024,June,Yarra Ranges,18 - 24 years,169
2024,June,Yarra Ranges,25 - 34 years,341
2024,June,Yarra Ranges,35 - 44 years,523
2024,June,Yarra Ranges,45 - 54 years,409
2024,June,Yarra Ranges,55+ years,322
2024,June,Yarriambiack,00 - 17 years,22
2024,June,Yarriambiack,18 - 24 years,17
2024,June,Yarriambiack,25 - 34 years,31
2024,June,Yarriambiack,35 - 44 years,18
2024,June,Yarriambiack,45 - 54 years,19
2024,June,Yarriambiack,55+ years,14
2023,June,Alpine,00 - 17 years,18
2023,June,Alpine,18 - 24 years,8
2023,June,Alpine,25 - 34 years,34
2023,June,Alpine,35 - 44 years,39
2023,June,Alpine,45 - 54 years,20
2023,June,Alpine,55+ years,28
2023,June,Ararat,00 - 17 years,25
2023,June,Ararat,18 - 24 years,43
2023,June,Ararat,25 - 34 years,72
2023,June,Ararat,35 - 44 years,48
2023,June,Ararat,45 - 54 years,47
2023,June,Ararat,55+ years,55
2023,June,Ballarat,00 - 17 years,187
2023,June,Ballarat,18 - 24 years,294
2023,June,Ballarat,25 - 34 years,593
2023,June,Ballarat,35 - 44 years,488
2023,June,Ballarat,45 - 54 years,433
2023,June,Ballarat,55+ years,221
2023,June,Banyule,00 - 17 years,83
2023,June,Banyule,18 - 24 years,91
2023,June,Banyule,25 - 34 years,234
2023,June,Banyule,35 - 44 years,276
2023,June,Banyule,45 - 54 years,218
2023,June,Banyule,55+ years,237
2023,June,Bass Coast,00 - 17 years,93
2023,June,Bass Coast,18 - 24 years,80
2023,June,Bass Coast,25 - 34 years,150
2023,June,Bass Coast,35 - 44 years,163
2023,June,Bass Coast,45 - 54 years,131
2023,June,Bass Coast,55+ years,154
2023,June,Baw Baw,00 - 17 years,134
2023,June,Baw Baw,18 - 24 years,90
2023,June,Baw Baw,25 - 34 years,188
2023,June,Baw Baw,35 - 44 years,259
2023,June,Baw Baw,45 - 54 years,167
2023,June,Baw Baw,55+ years,114
2023,June,Bayside,00 - 17 years,128
2023,June,Bayside,18 - 24 years,68
2023,June,Bayside,25 - 34 years,96
2023,June,Bayside,35 - 44 years,177
2023,June,Bayside,45 - 54 years,160
2023,June,Bayside,55+ years,149
2023,June,Benalla,00 - 17 years,42
2023,June,Benalla,18 - 24 years,62
2023,June,Benalla,25 - 34 years,98
2023,June,Benalla,35 - 44 years,93
2023,June,Benalla,45 - 54 years,57
2023,June,Benalla,55+ years,68
2023,June,Boroondara,00 - 17 years,147
2023,June,Boroondara,18 - 24 years,84
2023,June,Boroondara,25 - 34 years,131
2023,June,Boroondara,35 - 44 years,219
2023,June,Boroondara,45 - 54 years,245
2023,June,Boroondara,55+ years,210
2023,June,Brimbank,00 - 17 years,199
2023,June,Brimbank,18 - 24 years,326
2023,June,Brimbank,25 - 34 years,661
2023,June,Brimbank,35 - 44 years,675
2023,June,Brimbank,45 - 54 years,418
2023,June,Brimbank,55+ years,527
2023,June,Buloke,00 - 17 years,5
2023,June,Buloke,18 - 24 years,2
2023,June,Buloke,25 - 34 years,24
2023,June,Buloke,35 - 44 years,11
2023,June,Buloke,45 - 54 years,8
2023,June,Buloke,55+ years,7
2023,June,Campaspe,00 - 17 years,75
2023,June,Campaspe,18 - 24 years,131
2023,June,Campaspe,25 - 34 years,175
2023,June,Campaspe,35 - 44 years,173
2023,June,Campaspe,45 - 54 years,97
2023,June,Campaspe,55+ years,102
2023,June,Cardinia,00 - 17 years,147
2023,June,Cardinia,18 - 24 years,172
2023,June,Cardinia,25 - 34 years,386
2023,June,Cardinia,35 - 44 years,466
2023,June,Cardinia,45 - 54 years,199
2023,June,Cardinia,55+ years,164
2023,June,Casey,00 - 17 years,384
2023,June,Casey,18 - 24 years,682
2023,June,Casey,25 - 34 years,1399
2023,June,Casey,35 - 44 years,1448
2023,June,Casey,45 - 54 years,825
2023,June,Casey,55+ years,638
2023,June,Central Goldfields,00 - 17 years,31
2023,June,Central Goldfields,18 - 24 years,44
2023,June,Central Goldfields,25 - 34 years,96
2023,June,Central Goldfields,35 - 44 years,83
2023,June,Central Goldfields,45 - 54 years,69
2023,June,Central Goldfields,55+ years,51
2023,June,Colac-Otway,00 - 17 years,36
2023,June,Colac-Otway,18 - 24 years,42
2023,June,Colac-Otway,25 - 34 years,100
2023,June,Colac-Otway,35 - 44 years,89
2023,June,Colac-Otway,45 - 54 years,81
2023,June,Colac-Otway,55+ years,63
2023,June,Corangamite,00 - 17 years,13
2023,June,Corangamite,18 - 24 years,16
2023,June,Corangamite,25 - 34 years,43
2023,June,Corangamite,35 - 44 years,43
2023,June,Corangamite,45 - 54 years,31
2023,June,Corangamite,55+ years,29
2023,June,Darebin,00 - 17 years,101
2023,June,Darebin,18 - 24 years,178
2023,June,Darebin,25 - 34 years,409
2023,June,Darebin,35 - 44 years,422
2023,June,Darebin,45 - 54 years,290
2023,June,Darebin,55+ years,300
2023,June,East Gippsland,00 - 17 years,160
2023,June,East Gippsland,18 - 24 years,165
2023,June,East Gippsland,25 - 34 years,302
2023,June,East Gippsland,35 - 44 years,382
2023,June,East Gippsland,45 - 54 years,276
2023,June,East Gippsland,55+ years,282
2023,June,Frankston,00 - 17 years,189
2023,June,Frankston,18 - 24 years,237
2023,June,Frankston,25 - 34 years,547
2023,June,Frankston,35 - 44 years,716
2023,June,Frankston,45 - 54 years,518
2023,June,Frankston,55+ years,410
2023,June,Gannawarra,00 - 17 years,14
2023,June,Gannawarra,18 - 24 years,12
2023,June,Gannawarra,25 - 34 years,49
2023,June,Gannawarra,35 - 44 years,35
2023,June,Gannawarra,45 - 54 years,46
2023,June,Gannawarra,55+ years,33
2023,June,Glen Eira,00 - 17 years,173
2023,June,Glen Eira,18 - 24 years,113
2023,June,Glen Eira,25 - 34 years,191
2023,June,Glen Eira,35 - 44 years,227
2023,June,Glen Eira,45 - 54 years,233
2023,June,Glen Eira,55+ years,179
2023,June,Glenelg,00 - 17 years,57
2023,June,Glenelg,18 - 24 years,57
2023,June,Glenelg,25 - 34 years,89
2023,June,Glenelg,35 - 44 years,111
2023,June,Glenelg,45 - 54 years,56
2023,June,Glenelg,55+ years,52
2023,June,Golden Plains,00 - 17 years,17
2023,June,Golden Plains,18 - 24 years,16
2023,June,Golden Plains,25 - 34 years,49
2023,June,Golden Plains,35 - 44 years,72
2023,June,Golden Plains,45 - 54 years,40
2023,June,Golden Plains,55+ years,40
2023,June,Greater Bendigo,00 - 17 years,297
2023,June,Greater Bendigo,18 - 24 years,274
2023,June,Greater Bendigo,25 - 34 years,595
2023,June,Greater Bendigo,35 - 44 years,561
2023,June,Greater Bendigo,45 - 54 years,384
2023,June,Greater Bendigo,55+ years,346
2023,June,Greater Dandenong,00 - 17 years,193
2023,June,Greater Dandenong,18 - 24 years,316
2023,June,Greater Dandenong,25 - 34 years,735
2023,June,Greater Dandenong,35 - 44 years,562
2023,June,Greater Dandenong,45 - 54 years,403
2023,June,Greater Dandenong,55+ years,426
2023,June,Greater Geelong,00 - 17 years,393
2023,June,Greater Geelong,18 - 24 years,643
2023,June,Greater Geelong,25 - 34 years,1075
2023,June,Greater Geelong,35 - 44 years,1217
2023,June,Greater Geelong,45 - 54 years,832
2023,June,Greater Geelong,55+ years,656
2023,June,Greater Shepparton,00 - 17 years,153
2023,June,Greater Shepparton,18 - 24 years,202
2023,June,Greater Shepparton,25 - 34 years,455
2023,June,Greater Shepparton,35 - 44 years,489
2023,June,Greater Shepparton,45 - 54 years,243
2023,June,Greater Shepparton,55+ years,177
2023,June,Hepburn,00 - 17 years,11
2023,June,Hepburn,18 - 24 years,15
2023,June,Hepburn,25 - 34 years,16
2023,June,Hepburn,35 - 44 years,42
2023,June,Hepburn,45 - 54 years,38
2023,June,Hepburn,55+ years,50
2023,June,Hindmarsh,00 - 17 years,6
2023,June,Hindmarsh,18 - 24 years,12
2023,June,Hindmarsh,25 - 34 years,17
2023,June,Hindmarsh,35 - 44 years,20
2023,June,Hindmarsh,45 - 54 years,14
2023,June,Hindmarsh,55+ years,19
2023,June,Hobsons Bay,00 - 17 years,49
2023,June,Hobsons Bay,18 - 24 years,96
2023,June,Hobsons Bay,25 - 34 years,184
2023,June,Hobsons Bay,35 - 44 years,283
2023,June,Hobsons Bay,45 - 54 years,192
2023,June,Hobsons Bay,55+ years,180
2023,June,Horsham,00 - 17 years,109
2023,June,Horsham,18 - 24 years,90
2023,June,Horsham,25 - 34 years,159
2023,June,Horsham,35 - 44 years,99
2023,June,Horsham,45 - 54 years,77
2023,June,Horsham,55+ years,55
2023,June,Hume,00 - 17 years,379
2023,June,Hume,18 - 24 years,444
2023,June,Hume,25 - 34 years,861
2023,June,Hume,35 - 44 years,893
2023,June,Hume,45 - 54 years,499
2023,June,Hume,55+ years,505
2023,June,Indigo,00 - 17 years,17
2023,June,Indigo,18 - 24 years,15
2023,June,Indigo,25 - 34 years,40
2023,June,Indigo,35 - 44 years,49
2023,June,Indigo,45 - 54 years,31
2023,June,Indigo,55+ years,50
2023,June,Kingston,00 - 17 years,228
2023,June,Kingston,18 - 24 years,141
2023,June,Kingston,25 - 34 years,315
2023,June,Kingston,35 - 44 years,403
2023,June,Kingston,45 - 54 years,389
2023,June,Kingston,55+ years,359
2023,June,Knox,00 - 17 years,224
2023,June,Knox,18 - 24 years,177
2023,June,Knox,25 - 34 years,390
2023,June,Knox,35 - 44 years,487
2023,June,Knox,45 - 54 years,369
2023,June,Knox,55+ years,299
2023,June,Latrobe,00 - 17 years,290
2023,June,Latrobe,18 - 24 years,351
2023,June,Latrobe,25 - 34 years,643
2023,June,Latrobe,35 - 44 years,568
2023,June,Latrobe,45 - 54 years,373
2023,June,Latrobe,55+ years,306
2023,June,Loddon,00 - 17 years,8
2023,June,Loddon,18 - 24 years,13
2023,June,Loddon,25 - 34 years,27
2023,June,Loddon,35 - 44 years,26
2023,June,Loddon,45 - 54 years,17
2023,June,Loddon,55+ years,28
2023,June,Macedon Ranges,00 - 17 years,47
2023,June,Macedon Ranges,18 - 24 years,51
2023,June,Macedon Ranges,25 - 34 years,77
2023,June,Macedon Ranges,35 - 44 years,126
2023,June,Macedon Ranges,45 - 54 years,90
2023,June,Macedon Ranges,55+ years,75
2023,June,Manningham,00 - 17 years,132
2023,June,Manningham,18 - 24 years,83
2023,June,Manningham,25 - 34 years,179
2023,June,Manningham,35 - 44 years,209
