Year,Year ending,Local Government Area,Age Group,AFM Counter
2023,June,Manningham,45 - 54 years,189
2023,June,Manningham,55+ years,205
2023,June,Mansfield,00 - 17 years,6
2023,June,Mansfield,18 - 24 years,8
2023,June,Mansfield,25 - 34 years,14
2023,June,Mansfield,35 - 44 years,28
2023,June,Mansfield,45 - 54 years,20
2023,June,Mansfield,55+ years,5
2023,June,Maribyrnong,00 - 17 years,64
2023,June,Maribyrnong,18 - 24 years,115
2023,June,Maribyrnong,25 - 34 years,352
2023,June,Maribyrnong,35 - 44 years,294
2023,June,Maribyrnong,45 - 54 years,178
2023,June,Maribyrnong,55+ years,199
2023,June,Maroondah,00 - 17 years,183
2023,June,Maroondah,18 - 24 years,112
2023,June,Maroondah,25 - 34 years,280
2023,June,Maroondah,35 - 44 years,325
2023,June,Maroondah,45 - 54 years,211
2023,June,Maroondah,55+ years,227
2023,June,Melbourne,00 - 17 years,121
2023,June,Melbourne,18 - 24 years,447
2023,June,Melbourne,25 - 34 years,646
2023,June,Melbourne,35 - 44 years,463
2023,June,Melbourne,45 - 54 years,252
2023,June,Melbourne,55+ years,161
2023,June,Melton,00 - 17 years,171
2023,June,Melton,18 - 24 years,387
2023,June,Melton,25 - 34 years,842
2023,June,Melton,35 - 44 years,692
2023,June,Melton,45 - 54 years,403
2023,June,Melton,55+ years,272
2023,June,Merri-bek,00 - 17 years,115
2023,June,Merri-bek,18 - 24 years,202
2023,June,Merri-bek,25 - 34 years,481
2023,June,Merri-bek,35 - 44 years,443
2023,June,Merri-bek,45 - 54 years,388
2023,June,Merri-bek,55+ years,337
2023,June,Mildura,00 - 17 years,225
2023,June,Mildura,18 - 24 years,241
2023,June,Mildura,25 - 34 years,488
2023,June,Mildura,35 - 44 years,474
2023,June,Mildura,45 - 54 years,260
2023,June,Mildura,55+ years,232
2023,June,Mitchell,00 - 17 years,97
2023,June,Mitchell,18 - 24 years,119
2023,June,Mitchell,25 - 34 years,280
2023,June,Mitchell,35 - 44 years,280
2023,June,Mitchell,45 - 54 years,190
2023,June,Mitchell,55+ years,113
2023,June,Moira,00 - 17 years,65
2023,June,Moira,18 - 24 years,105
2023,June,Moira,25 - 34 years,116
2023,June,Moira,35 - 44 years,142
2023,June,Moira,45 - 54 years,94
2023,June,Moira,55+ years,100
2023,June,Monash,00 - 17 years,242
2023,June,Monash,18 - 24 years,161
2023,June,Monash,25 - 34 years,380
2023,June,Monash,35 - 44 years,390
2023,June,Monash,45 - 54 years,342
2023,June,Monash,55+ years,308
2023,June,Moonee Valley,00 - 17 years,88
2023,June,Moonee Valley,18 - 24 years,134
2023,June,Moonee Valley,25 - 34 years,308
2023,June,Moonee Valley,35 - 44 years,305
2023,June,Moonee Valley,45 - 54 years,215
2023,June,Moonee Valley,55+ years,208
2023,June,Moorabool,00 - 17 years,40
2023,June,Moorabool,18 - 24 years,63
2023,June,Moorabool,25 - 34 years,120
2023,June,Moorabool,35 - 44 years,152
2023,June,Moorabool,45 - 54 years,92
2023,June,Moorabool,55+ years,74
2023,June,Mornington Peninsula,00 - 17 years,148
2023,June,Mornington Peninsula,18 - 24 years,151
2023,June,Mornington Peninsula,25 - 34 years,331
2023,June,Mornington Peninsula,35 - 44 years,469
2023,June,Mornington Peninsula,45 - 54 years,459
2023,June,Mornington Peninsula,55+ years,373
2023,June,Mount Alexander,00 - 17 years,15
2023,June,Mount Alexander,18 - 24 years,11
2023,June,Mount Alexander,25 - 34 years,44
2023,June,Mount Alexander,35 - 44 years,48
2023,June,Mount Alexander,45 - 54 years,59
2023,June,Mount Alexander,55+ years,52
2023,June,Moyne,00 - 17 years,14
2023,June,Moyne,18 - 24 years,17
2023,June,Moyne,25 - 34 years,37
2023,June,Moyne,35 - 44 years,54
2023,June,Moyne,45 - 54 years,24
2023,June,Moyne,55+ years,28
2023,June,Murrindindi,00 - 17 years,21
2023,June,Murrindindi,18 - 24 years,16
2023,June,Murrindindi,25 - 34 years,44
2023,June,Murrindindi,35 - 44 years,44
2023,June,Murrindindi,45 - 54 years,34
2023,June,Murrindindi,55+ years,20
2023,June,Nillumbik,00 - 17 years,31
2023,June,Nillumbik,18 - 24 years,48
2023,June,Nillumbik,25 - 34 years,63
2023,June,Nillumbik,35 - 44 years,95
2023,June,Nillumbik,45 - 54 years,106
2023,June,Nillumbik,55+ years,73
2023,June,Northern Grampians,00 - 17 years,28
2023,June,Northern Grampians,18 - 24 years,39
2023,June,Northern Grampians,25 - 34 years,77
2023,June,Northern Grampians,35 - 44 years,66
2023,June,Northern Grampians,45 - 54 years,43
2023,June,Northern Grampians,55+ years,42
2023,June,Port Phillip,00 - 17 years,103
2023,June,Port Phillip,18 - 24 years,168
2023,June,Port Phillip,25 - 34 years,386
2023,June,Port Phillip,35 - 44 years,396
2023,June,Port Phillip,45 - 54 years,219
2023,June,Port Phillip,55+ years,150
2023,June,Pyrenees,00 - 17 years,8
2023,June,Pyrenees,18 - 24 years,6
2023,June,Pyrenees,25 - 34 years,17
2023,June,Pyrenees,35 - 44 years,23
2023,June,Pyrenees,45 - 54 years,15
2023,June,Pyrenees,55+ years,28
2023,June,Queenscliffe,00 - 17 years,
2023,June,Queenscliffe,35 - 44 years,
2023,June,Queenscliffe,45 - 54 years,
2023,June,Queenscliffe,55+ years,
2023,June,South Gippsland,00 - 17 years,58
2023,June,South Gippsland,18 - 24 years,30
2023,June,South Gippsland,25 - 34 years,107
2023,June,South Gippsland,35 - 44 years,108
2023,June,South Gippsland,45 - 54 years,112
2023,June,South Gippsland,55+ years,87
2023,June,Southern Grampians,00 - 17 years,28
2023,June,Southern Grampians,18 - 24 years,46
2023,June,Southern Grampians,25 - 34 years,61
2023,June,Southern Grampians,35 - 44 years,61
2023,June,Southern Grampians,45 - 54 years,47
2023,June,Southern Grampians,55+ years,33
2023,June,Stonnington,00 - 17 years,103
2023,June,Stonnington,18 - 24 years,124
2023,June,Stonnington,25 - 34 years,235
2023,June,Stonnington,35 - 44 years,202
2023,June,Stonnington,45 - 54 years,175
2023,June,Stonnington,55+ years,123
2023,June,Strathbogie,00 - 17 years,19
2023,June,Strathbogie,18 - 24 years,10
2023,June,Strathbogie,25 - 34 years,22
2023,June,Strathbogie,35 - 44 years,43
2023,June,Strathbogie,45 - 54 years,30
2023,June,Strathbogie,55+ years,18
2023,June,Surf Coast,00 - 17 years,24
2023,June,Surf Coast,18 - 24 years,15
2023,June,Surf Coast,25 - 34 years,43
2023,June,Surf Coast,35 - 44 years,83
2023,June,Surf Coast,45 - 54 years,62
2023,June,Surf Coast,55+ years,39
2023,June,Swan Hill,00 - 17 years,61
2023,June,Swan Hill,18 - 24 years,73
2023,June,Swan Hill,25 - 34 years,156
2023,June,Swan Hill,35 - 44 years,130
2023,June,Swan Hill,45 - 54 years,83
2023,June,Swan Hill,55+ years,70
2023,June,Towong,00 - 17 years,11
2023,June,Towong,18 - 24 years,9
2023,June,Towong,25 - 34 years,18
2023,June,Towong,35 - 44 years,13
2023,June,Towong,45 - 54 years,13
2023,June,Towong,55+ years,22
2023,June,Wangaratta,00 - 17 years,64
2023,June,Wangaratta,18 - 24 years,77
2023,June,Wangaratta,25 - 34 years,117
2023,June,Wangaratta,35 - 44 years,151
2023,June,Wangaratta,45 - 54 years,112
2023,June,Wangaratta,55+ years,97
2023,June,Warrnambool,00 - 17 years,59
2023,June,Warrnambool,18 - 24 years,100
2023,June,Warrnambool,25 - 34 years,185
2023,June,Warrnambool,35 - 44 years,151
2023,June,Warrnambool,45 - 54 years,121
2023,June,Warrnambool,55+ years,108
2023,June,Wellington,00 - 17 years,171
2023,June,Wellington,18 - 24 years,152
2023,June,Wellington,25 - 34 years,296
2023,June,Wellington,35 - 44 years,304
2023,June,Wellington,45 - 54 years,225
2023,June,Wellington,55+ years,195
2023,June,West Wimmera,00 - 17 years,5
2023,June,West Wimmera,18 - 24 years,5
2023,June,West Wimmera,25 - 34 years,8
2023,June,West Wimmera,35 - 44 years,16
2023,June,West Wimmera,45 - 54 years,2
2023,June,West Wimmera,55+ years,5
2023,June,Whitehorse,00 - 17 years,189
2023,June,Whitehorse,18 - 24 years,155
2023,June,Whitehorse,25 - 34 years,318
2023,June,Whitehorse,35 - 44 years,359
2023,June,Whitehorse,45 - 54 years,219
2023,June,Whitehorse,55+ years,206
2023,June,Whittlesea,00 - 17 years,141
2023,June,Whittlesea,18 - 24 years,264
2023,June,Whittlesea,25 - 34 years,685
2023,June,Whittlesea,35 - 44 years,690
2023,June,Whittlesea,45 - 54 years,456
2023,June,Whittlesea,55+ years,380
2023,June,Wodonga,00 - 17 years,136
2023,June,Wodonga,18 - 24 years,187
2023,June,Wodonga,25 - 34 years,261
2023,June,Wodonga,35 - 44 years,238
2023,June,Wodonga,45 - 54 years,142
2023,June,Wodonga,55+ years,94
2023,June,Wyndham,00 - 17 years,322
2023,June,Wyndham,18 - 24 years,578
2023,June,Wyndham,25 - 34 years,1333
2023,June,Wyndham,35 - 44 years,1121
2023,June,Wyndham,45 - 54 years,697
2023,June,Wyndham,55+ years,405
2023,June,Yarra,00 - 17 years,62
2023,June,Yarra,18 - 24 years,124
2023,June,Yarra,25 - 34 years,302
2023,June,Yarra,35 - 44 years,254
2023,June,Yarra,45 - 54 years,166
2023,June,Yarra,55+ years,146
2023,June,Yarra Ranges,00 - 17 years,233
2023,June,Yarra Ranges,18 - 24 years,163
2023,June,Yarra Ranges,25 - 34 years,391
2023,June,Yarra Ranges,35 - 44 years,471
2023,June,Yarra Ranges,45 - 54 years,365
2023,June,Yarra Ranges,55+ years,329
2023,June,Yarriambiack,00 - 17 years,17
2023,June,Yarriambiack,18 - 24 years,9
2023,June,Yarriambiack,25 - 34 years,21
2023,June,Yarriambiack,35 - 44 years,37
2023,June,Yarriambiack,45 - 54 years,24
2023,June,Yarriambiack,55+ years,14
2022,June,Alpine,00 - 17 years,11
2022,June,Alpine,18 - 24 years,9
2022,June,Alpine,25 - 34 years,21
2022,June,Alpine,35 - 44 years,41
2022,June,Alpine,45 - 54 years,38
2022,June,Alpine,55+ years,20
2022,June,Ararat,00 - 17 years,22
2022,June,Ararat,18 - 24 years,37
2022,June,Ararat,25 - 34 years,57
2022,June,Ararat,35 - 44 years,57
2022,June,Ararat,45 - 54 years,45
2022,June,Ararat,55+ years,43
2022,June,Ballarat,00 - 17 years,137
2022,June,Ballarat,18 - 24 years,317
2022,June,Ballarat,25 - 34 years,536
2022,June,Ballarat,35 - 44 years,472
2022,June,Ballarat,45 - 54 years,365
2022,June,Ballarat,55+ years,201
2022,June,Banyule,00 - 17 years,81
2022,June,Banyule,18 - 24 years,126
2022,June,Banyule,25 - 34 years,253
2022,June,Banyule,35 - 44 years,295
2022,June,Banyule,45 - 54 years,208
2022,June,Banyule,55+ years,213
2022,June,Bass Coast,00 - 17 years,76
2022,June,Bass Coast,18 - 24 years,82
2022,June,Bass Coast,25 - 34 years,197
2022,June,Bass Coast,35 - 44 years,176
2022,June,Bass Coast,45 - 54 years,178
2022,June,Bass Coast,55+ years,163
2022,June,Baw Baw,00 - 17 years,85
2022,June,Baw Baw,18 - 24 years,118
2022,June,Baw Baw,25 - 34 years,223
2022,June,Baw Baw,35 - 44 years,222
2022,June,Baw Baw,45 - 54 years,153
2022,June,Baw Baw,55+ years,131
2022,June,Bayside,00 - 17 years,113
2022,June,Bayside,18 - 24 years,65
2022,June,Bayside,25 - 34 years,94
2022,June,Bayside,35 - 44 years,152
2022,June,Bayside,45 - 54 years,182
2022,June,Bayside,55+ years,147
2022,June,Benalla,00 - 17 years,40
2022,June,Benalla,18 - 24 years,43
2022,June,Benalla,25 - 34 years,50
2022,June,Benalla,35 - 44 years,85
2022,June,Benalla,45 - 54 years,50
2022,June,Benalla,55+ years,82
2022,June,Boroondara,00 - 17 years,138
2022,June,Boroondara,18 - 24 years,89
2022,June,Boroondara,25 - 34 years,149
2022,June,Boroondara,35 - 44 years,186
2022,June,Boroondara,45 - 54 years,238
2022,June,Boroondara,55+ years,208
2022,June,Brimbank,00 - 17 years,153
2022,June,Brimbank,18 - 24 years,312
2022,June,Brimbank,25 - 34 years,673
2022,June,Brimbank,35 - 44 years,668
2022,June,Brimbank,45 - 54 years,429
2022,June,Brimbank,55+ years,480
2022,June,Buloke,00 - 17 years,6
2022,June,Buloke,18 - 24 years,14
2022,June,Buloke,25 - 34 years,14
2022,June,Buloke,35 - 44 years,16
2022,June,Buloke,45 - 54 years,12
2022,June,Buloke,55+ years,17
2022,June,Campaspe,00 - 17 years,116
2022,June,Campaspe,18 - 24 years,128
2022,June,Campaspe,25 - 34 years,210
2022,June,Campaspe,35 - 44 years,195
2022,June,Campaspe,45 - 54 years,136
2022,June,Campaspe,55+ years,92
2022,June,Cardinia,00 - 17 years,129
2022,June,Cardinia,18 - 24 years,184
2022,June,Cardinia,25 - 34 years,405
2022,June,Cardinia,35 - 44 years,463
2022,June,Cardinia,45 - 54 years,227
2022,June,Cardinia,55+ years,144
2022,June,Casey,00 - 17 years,335
2022,June,Casey,18 - 24 years,605
2022,June,Casey,25 - 34 years,1388
2022,June,Casey,35 - 44 years,1270
2022,June,Casey,45 - 54 years,762
2022,June,Casey,55+ years,587
2022,June,Central Goldfields,00 - 17 years,55
2022,June,Central Goldfields,18 - 24 years,44
2022,June,Central Goldfields,25 - 34 years,80
2022,June,Central Goldfields,35 - 44 years,70
2022,June,Central Goldfields,45 - 54 years,53
2022,June,Central Goldfields,55+ years,35
2022,June,Colac-Otway,00 - 17 years,32
2022,June,Colac-Otway,18 - 24 years,40
2022,June,Colac-Otway,25 - 34 years,130
2022,June,Colac-Otway,35 - 44 years,78
2022,June,Colac-Otway,45 - 54 years,56
2022,June,Colac-Otway,55+ years,50
2022,June,Corangamite,00 - 17 years,13
2022,June,Corangamite,18 - 24 years,21
2022,June,Corangamite,25 - 34 years,31
2022,June,Corangamite,35 - 44 years,51
2022,June,Corangamite,45 - 54 years,25
2022,June,Corangamite,55+ years,21
2022,June,Darebin,00 - 17 years,68
2022,June,Darebin,18 - 24 years,179
2022,June,Darebin,25 - 34 years,385
2022,June,Darebin,35 - 44 years,381
2022,June,Darebin,45 - 54 years,310
2022,June,Darebin,55+ years,284
2022,June,East Gippsland,00 - 17 years,187
2022,June,East Gippsland,18 - 24 years,202
2022,June,East Gippsland,25 - 34 years,355
2022,June,East Gippsland,35 - 44 years,339
2022,June,East Gippsland,45 - 54 years,300
2022,June,East Gippsland,55+ years,249
2022,June,Frankston,00 - 17 years,211
2022,June,Frankston,18 - 24 years,256
2022,June,Frankston,25 - 34 years,610
2022,June,Frankston,35 - 44 years,675
2022,June,Frankston,45 - 54 years,458
2022,June,Frankston,55+ years,375
2022,June,Gannawarra,00 - 17 years,11
2022,June,Gannawarra,18 - 24 years,16
2022,June,Gannawarra,25 - 34 years,30
2022,June,Gannawarra,35 - 44 years,41
2022,June,Gannawarra,45 - 54 years,44
2022,June,Gannawarra,55+ years,19
2022,June,Glen Eira,00 - 17 years,163
2022,June,Glen Eira,18 - 24 years,117
2022,June,Glen Eira,25 - 34 years,214
2022,June,Glen Eira,35 - 44 years,219
2022,June,Glen Eira,45 - 54 years,269
2022,June,Glen Eira,55+ years,204
2022,June,Glenelg,00 - 17 years,38
2022,June,Glenelg,18 - 24 years,73
2022,June,Glenelg,25 - 34 years,83
2022,June,Glenelg,35 - 44 years,92
2022,June,Glenelg,45 - 54 years,64
2022,June,Glenelg,55+ years,58
2022,June,Golden Plains,00 - 17 years,17
2022,June,Golden Plains,18 - 24 years,10
2022,June,Golden Plains,25 - 34 years,29
2022,June,Golden Plains,35 - 44 years,62
2022,June,Golden Plains,45 - 54 years,34
2022,June,Golden Plains,55+ years,23
2022,June,Greater Bendigo,00 - 17 years,259
2022,June,Greater Bendigo,18 - 24 years,298
2022,June,Greater Bendigo,25 - 34 years,557
2022,June,Greater Bendigo,35 - 44 years,502
2022,June,Greater Bendigo,45 - 54 years,324
2022,June,Greater Bendigo,55+ years,274
2022,June,Greater Dandenong,00 - 17 years,146
2022,June,Greater Dandenong,18 - 24 years,361
2022,June,Greater Dandenong,25 - 34 years,646
2022,June,Greater Dandenong,35 - 44 years,539
2022,June,Greater Dandenong,45 - 54 years,413
2022,June,Greater Dandenong,55+ years,395
2022,June,Greater Geelong,00 - 17 years,317
2022,June,Greater Geelong,18 - 24 years,567
2022,June,Greater Geelong,25 - 34 years,986
2022,June,Greater Geelong,35 - 44 years,1058
2022,June,Greater Geelong,45 - 54 years,802
2022,June,Greater Geelong,55+ years,594
2022,June,Greater Shepparton,00 - 17 years,121
2022,June,Greater Shepparton,18 - 24 years,222
2022,June,Greater Shepparton,25 - 34 years,432
2022,June,Greater Shepparton,35 - 44 years,472
2022,June,Greater Shepparton,45 - 54 years,274
2022,June,Greater Shepparton,55+ years,189
2022,June,Hepburn,00 - 17 years,13
2022,June,Hepburn,18 - 24 years,15
2022,June,Hepburn,25 - 34 years,27
2022,June,Hepburn,35 - 44 years,42
2022,June,Hepburn,45 - 54 years,45
2022,June,Hepburn,55+ years,38
2022,June,Hindmarsh,00 - 17 years,5
2022,June,Hindmarsh,18 - 24 years,7
2022,June,Hindmarsh,25 - 34 years,26
2022,June,Hindmarsh,35 - 44 years,22
2022,June,Hindmarsh,45 - 54 years,12
2022,June,Hindmarsh,55+ years,8
2022,June,Hobsons Bay,00 - 17 years,63
2022,June,Hobsons Bay,18 - 24 years,113
2022,June,Hobsons Bay,25 - 34 years,249
2022,June,Hobsons Bay,35 - 44 years,254
2022,June,Hobsons Bay,45 - 54 years,192
2022,June,Hobsons Bay,55+ years,143
2022,June,Horsham,00 - 17 years,68
2022,June,Horsham,18 - 24 years,76
2022,June,Horsham,25 - 34 years,147
2022,June,Horsham,35 - 44 years,92
2022,June,Horsham,45 - 54 years,60
2022,June,Horsham,55+ years,63
2022,June,Hume,00 - 17 years,243
2022,June,Hume,18 - 24 years,433
2022,June,Hume,25 - 34 years,1003
2022,June,Hume,35 - 44 years,927
2022,June,Hume,45 - 54 years,561
2022,June,Hume,55+ years,541
2022,June,Indigo,00 - 17 years,16
2022,June,Indigo,18 - 24 years,13
2022,June,Indigo,25 - 34 years,31
2022,June,Indigo,35 - 44 years,53
2022,June,Indigo,45 - 54 years,43
2022,June,Indigo,55+ years,33
2022,June,Kingston,00 - 17 years,213
2022,June,Kingston,18 - 24 years,145
2022,June,Kingston,25 - 34 years,353
2022,June,Kingston,35 - 44 years,410
2022,June,Kingston,45 - 54 years,354
2022,June,Kingston,55+ years,354
2022,June,Knox,00 - 17 years,176
2022,June,Knox,18 - 24 years,202
2022,June,Knox,25 - 34 years,453
2022,June,Knox,35 - 44 years,427
2022,June,Knox,45 - 54 years,363
2022,June,Knox,55+ years,281
2022,June,Latrobe,00 - 17 years,283
2022,June,Latrobe,18 - 24 years,392
2022,June,Latrobe,25 - 34 years,692
2022,June,Latrobe,35 - 44 years,510
2022,June,Latrobe,45 - 54 years,359
2022,June,Latrobe,55+ years,291
2022,June,Loddon,00 - 17 years,16
2022,June,Loddon,18 - 24 years,8
2022,June,Loddon,25 - 34 years,12
2022,June,Loddon,35 - 44 years,29
2022,June,Loddon,45 - 54 years,30
2022,June,Loddon,55+ years,23
2022,June,Macedon Ranges,00 - 17 years,56
2022,June,Macedon Ranges,18 - 24 years,38
2022,June,Macedon Ranges,25 - 34 years,85
2022,June,Macedon Ranges,35 - 44 years,109
2022,June,Macedon Ranges,45 - 54 years,98
2022,June,Macedon Ranges,55+ years,78
2022,June,Manningham,00 - 17 years,117
2022,June,Manningham,18 - 24 years,61
2022,June,Manningham,25 - 34 years,174
2022,June,Manningham,35 - 44 years,224
2022,June,Manningham,45 - 54 years,181
2022,June,Manningham,55+ years,180
2022,June,Mansfield,00 - 17 years,11
2022,June,Mansfield,18 - 24 years,11
2022,June,Mansfield,25 - 34 years,22
2022,June,Mansfield,35 - 44 years,21
2022,June,Mansfield,45 - 54 years,35
2022,June,Mansfield,55+ years,17
2022,June,Maribyrnong,00 - 17 years,51
2022,June,Maribyrnong,18 - 24 years,122
2022,June,Maribyrnong,25 - 34 years,283
2022,June,Maribyrnong,35 - 44 years,249
2022,June,Maribyrnong,45 - 54 years,182
2022,June,Maribyrnong,55+ years,131
2022,June,Maroondah,00 - 17 years,144
2022,June,Maroondah,18 - 24 years,167
2022,June,Maroondah,25 - 34 years,256
2022,June,Maroondah,35 - 44 years,327
2022,June,Maroondah,45 - 54 years,289
2022,June,Maroondah,55+ years,188
2022,June,Melbourne,00 - 17 years,97
2022,June,Melbourne,18 - 24 years,488
2022,June,Melbourne,25 - 34 years,748
2022,June,Melbourne,35 - 44 years,443
2022,June,Melbourne,45 - 54 years,256
2022,June,Melbourne,55+ years,115
2022,June,Melton,00 - 17 years,168
2022,June,Melton,18 - 24 years,381
2022,June,Melton,25 - 34 years,838
2022,June,Melton,35 - 44 years,753
2022,June,Melton,45 - 54 years,419
2022,June,Melton,55+ years,291
2022,June,Merri-bek,00 - 17 years,105
2022,June,Merri-bek,18 - 24 years,221
2022,June,Merri-bek,25 - 34 years,458
2022,June,Merri-bek,35 - 44 years,462
2022,June,Merri-bek,45 - 54 years,406
2022,June,Merri-bek,55+ years,318
2022,June,Mildura,00 - 17 years,182
2022,June,Mildura,18 - 24 years,262
2022,June,Mildura,25 - 34 years,587
2022,June,Mildura,35 - 44 years,450
2022,June,Mildura,45 - 54 years,251
2022,June,Mildura,55+ years,240
2022,June,Mitchell,00 - 17 years,92
2022,June,Mitchell,18 - 24 years,108
2022,June,Mitchell,25 - 34 years,247
2022,June,Mitchell,35 - 44 years,246
2022,June,Mitchell,45 - 54 years,168
2022,June,Mitchell,55+ years,118
2022,June,Moira,00 - 17 years,37
2022,June,Moira,18 - 24 years,64
2022,June,Moira,25 - 34 years,116
2022,June,Moira,35 - 44 years,97
2022,June,Moira,45 - 54 years,100
2022,June,Moira,55+ years,60
2022,June,Monash,00 - 17 years,211
2022,June,Monash,18 - 24 years,230
2022,June,Monash,25 - 34 years,440
2022,June,Monash,35 - 44 years,400
2022,June,Monash,45 - 54 years,368
2022,June,Monash,55+ years,280
2022,June,Moonee Valley,00 - 17 years,49
2022,June,Moonee Valley,18 - 24 years,124
2022,June,Moonee Valley,25 - 34 years,263
2022,June,Moonee Valley,35 - 44 years,299
2022,June,Moonee Valley,45 - 54 years,209
2022,June,Moonee Valley,55+ years,241
2022,June,Moorabool,00 - 17 years,43
2022,June,Moorabool,18 - 24 years,69
2022,June,Moorabool,25 - 34 years,124
2022,June,Moorabool,35 - 44 years,112
2022,June,Moorabool,45 - 54 years,74
2022,June,Moorabool,55+ years,62
2022,June,Mornington Peninsula,00 - 17 years,156
2022,June,Mornington Peninsula,18 - 24 years,178
2022,June,Mornington Peninsula,25 - 34 years,352
2022,June,Mornington Peninsula,35 - 44 years,502
2022,June,Mornington Peninsula,45 - 54 years,405
2022,June,Mornington Peninsula,55+ years,424
2022,June,Mount Alexander,00 - 17 years,26
2022,June,Mount Alexander,18 - 24 years,15
2022,June,Mount Alexander,25 - 34 years,34
2022,June,Mount Alexander,35 - 44 years,36
2022,June,Mount Alexander,45 - 54 years,34
2022,June,Mount Alexander,55+ years,38
2022,June,Moyne,00 - 17 years,19
2022,June,Moyne,18 - 24 years,24
2022,June,Moyne,25 - 34 years,32
2022,June,Moyne,35 - 44 years,29
2022,June,Moyne,45 - 54 years,37
2022,June,Moyne,55+ years,29
2022,June,Murrindindi,00 - 17 years,18
2022,June,Murrindindi,18 - 24 years,8
2022,June,Murrindindi,25 - 34 years,49
2022,June,Murrindindi,35 - 44 years,58
2022,June,Murrindindi,45 - 54 years,38
2022,June,Murrindindi,55+ years,39
2022,June,Nillumbik,00 - 17 years,31
2022,June,Nillumbik,18 - 24 years,44
2022,June,Nillumbik,25 - 34 years,69
2022,June,Nillumbik,35 - 44 years,99
2022,June,Nillumbik,45 - 54 years,103
2022,June,Nillumbik,55+ years,94
2022,June,Northern Grampians,00 - 17 years,28
2022,June,Northern Grampians,18 - 24 years,48
2022,June,Northern Grampians,25 - 34 years,47
2022,June,Northern Grampians,35 - 44 years,59
2022,June,Northern Grampians,45 - 54 years,49
2022,June,Northern Grampians,55+ years,40
2022,June,Port Phillip,00 - 17 years,96
2022,June,Port Phillip,18 - 24 years,184
2022,June,Port Phillip,25 - 34 years,355
2022,June,Port Phillip,35 - 44 years,361
2022,June,Port Phillip,45 - 54 years,265
2022,June,Port Phillip,55+ years,130
2022,June,Pyrenees,00 - 17 years,5
2022,June,Pyrenees,18 - 24 years,8
